feature,mean_delta_primary,std_delta_primary,snr_primary,mean_delta_aug,std_delta_aug,snr_aug,snr_ratio_aug_vs_primary
libra_supported_late_life_raw,0.2554621848739496,1.7411334798884615,0.1467217692830724,0.7464419475655432,1.841921444085082,0.40525178180498544,2.762042613193171
vascular_risk_count,0.17647058823529413,1.4473798919620091,0.12192416731322253,0.4943820224719101,1.6060997644323873,0.30781526348010807,2.5246451769048144
modifiable_risk_core_count,0.11764705882352941,1.696147243629274,0.06936134772264035,0.5131086142322098,1.7870781709125136,0.287121527360544,4.139503234123592
education_years,0.12605042016806722,3.8731018595260993,0.032545082651388176,-0.9363295880149812,3.4347407771152816,0.2726056050520255,8.376245333153348
libra_supported_raw,0.080672268907563,2.3571552898906676,0.03422441839929877,0.650561797752809,2.5542264422112533,0.25470012632666283,7.442058354739583
lifestyle_risk_count,-0.026610644257703122,0.7162848938439736,0.03715092199940869,0.15855181023720347,0.6886487520827743,0.23023611024842128,6.197318711357072
vascular_treatment_gap,-0.04201680672268908,0.7378706359164765,0.05694332396566851,0.17228464419475656,0.8348112131939236,0.2063755748191656,3.624227685046329
ses_score,0.02946127886209688,0.571613046592587,0.05154059898768299,-0.08983929575049072,0.5166082846902084,0.17390215805474743,3.3740809788071155
BMI,-3.549747856585508,23.056360545552845,0.1539595917325395,-1.7179146749668974,11.826711807664868,0.14525716892063467,0.9434759234065864
weight_kg,-3.9345508617983187,21.235956066176296,0.18527778308412599,-4.625969722719103,33.48487444461003,0.1381510248823878,0.7456426876287547
libra_supported_rescaled_0_100,-0.41647348594610256,21.37236013500753,0.0194865463287997,3.161565284773342,24.008411663256886,0.1316857328583798,6.757776564335637
married_homeowner,0.06722689075630252,0.6447081606324925,0.10427491810569685,0.07865168539325842,0.6340769769983235,0.1240412254700507,1.1895595463787223
serum_creatinine,-0.008403361344537815,0.16832333427855733,0.049923923683137215,0.018726591760299637,0.2099256783160972,0.0892058171316046,1.7868350234438921
eGFR,0.10768481885420861,10.899659055340802,0.009879650207183656,-0.9735287692065814,13.03933403251268,0.07466092721487873,7.557040795184303
systolic_bp,0.11764705882352941,20.112781366474415,0.0058493679553332945,1.801498127340824,24.997414053579643,0.07206737958604087,12.320539213094397
diastolic_bp,-1.2352941176470589,12.991080251078637,0.09508786749657756,-0.9101123595505618,13.745662263911392,0.06621087743977308,0.6963125631757764
pulse,1.3781512605042017,15.363380884831773,0.08970364470851225,-0.6591760299625468,15.61234326558386,0.042221466611833035,0.4706772648798433
years_retired,0.21008403361344538,8.298905414895104,0.02531466778872622,0.352059925093633,8.95617845181907,0.03930916818465332,1.5528217458708957
height_m,6.8907563025251005e-06,0.16003329053746462,4.305826766621206e-05,0.0036486891385767856,0.10116754504381212,0.036065806488937334,837.5852271458303
social_structural_engagement,-0.007002801120448187,0.25601536009518133,0.027353050576698353,0.009987515605493139,0.2911943203064265,0.034298455961245145,1.2539169849137957
metabolic_risk_count,-0.03361344537815126,1.0918550486278753,0.03078562982293973,0.03745318352059925,1.1077281609311131,0.03381080738735283,1.0982658624672037
education_retired,1.5378151260504203,9.546691904464224,0.16108356080604463,0.2546816479400749,9.096379830583569,0.027998132515948154,0.17381123313910687
heart_disease,0.0,0.4674263524428027,0.0,0.011235955056179775,0.41940876941331534,0.026789985924965426,26789985.924965423
renal_dysfunction,0.008403361344537815,0.47625638034637735,0.017644616793966103,0.011235955056179775,0.4932742099460195,0.022778314387510844,1.2909497192566166
social_isolation_score,0.04201680672268908,0.9111352046003228,0.0461147878651065,-0.0149812734082397,0.8951389215020706,0.016736255157316148,0.36292598468297244
serum_cholesterol,0.47058823529411764,32.38290438321793,0.014531995947944147,0.4307116104868914,29.60890316584904,0.014546692528925834,1.0010112568172378
tobacco_burden,0.005564032322935342,0.5263379015164356,0.0105712172661964,-0.004538592633699889,0.3369284564257873,0.013470493612726585,1.2742612321042694
smoking_history,-0.05042016806722689,0.5628370436853902,0.08958217754734023,0.003745318352059925,0.44551974731723953,0.00840662701531473,0.09384262753637096
serum_glucose,0.5210084033613446,14.468074816612228,0.03601090054684486,0.23220973782771537,27.866159722212924,0.008333036921276283,0.23140317413148442
hypertension,-0.05042016806722689,0.6331027967004159,0.07963978085449198,0.003745318352059925,0.7163062102359943,0.005228655417628359,0.06565381390900236
