epoch,loss_primary,loss_aux,loss_total,lambda_aux
0,0.699991,0.679388,0.786857,0.1279
1,0.685361,0.678936,0.772169,0.1279
2,0.676434,0.675929,0.762857,0.1279
3,0.664889,0.670432,0.75061,0.1279
4,0.650885,0.670694,0.736639,0.1279
5,0.635694,0.664732,0.720687,0.1279
6,0.627883,0.664294,0.712819,0.1279
7,0.616813,0.666091,0.701979,0.1279
8,0.605521,0.662772,0.690262,0.1279
9,0.596243,0.660286,0.680666,0.1279
10,0.581316,0.659716,0.665667,0.1279
11,0.570856,0.650332,0.654007,0.1279
12,0.561131,0.648107,0.643998,0.1279
13,0.550613,0.639376,0.632363,0.1279
14,0.537744,0.641092,0.619713,0.1279
15,0.526073,0.635008,0.607265,0.1279
16,0.515003,0.62871,0.595389,0.1279
17,0.508766,0.625418,0.588731,0.1279
18,0.498271,0.613043,0.576654,0.1279
19,0.487122,0.614055,0.565635,0.1279
20,0.479387,0.598774,0.555946,0.1279
21,0.46839,0.595184,0.54449,0.1279
22,0.458851,0.582635,0.533346,0.1279
23,0.451815,0.57417,0.525227,0.1279
24,0.445495,0.568059,0.518127,0.1279
25,0.436576,0.553181,0.507305,0.1279
26,0.426234,0.548435,0.496357,0.1279
27,0.420788,0.537883,0.489561,0.1279
28,0.41558,0.523755,0.482547,0.1279
29,0.411274,0.513758,0.476962,0.1279
30,0.405877,0.503418,0.470244,0.1279
31,0.393296,0.486819,0.45554,0.1279
32,0.397563,0.476658,0.458508,0.1279
33,0.392077,0.461345,0.451064,0.1279
34,0.377159,0.44807,0.434448,0.1279
35,0.380784,0.436726,0.436623,0.1279
36,0.380496,0.422993,0.43458,0.1279
37,0.376728,0.412991,0.429533,0.1279
38,0.369686,0.402228,0.421115,0.1279
39,0.371422,0.387255,0.420936,0.1279
40,0.364406,0.373078,0.412107,0.1279
41,0.370633,0.362079,0.416928,0.1279
42,0.360812,0.349474,0.405495,0.1279
43,0.363138,0.337243,0.406257,0.1279
44,0.357343,0.327843,0.399261,0.1279
45,0.354905,0.315501,0.395244,0.1279
46,0.360498,0.308612,0.399957,0.1279
47,0.352865,0.299333,0.391137,0.1279
48,0.352447,0.291314,0.389694,0.1279
49,0.355989,0.278938,0.391654,0.1279
50,0.349356,0.27462,0.384468,0.1279
51,0.358428,0.261304,0.391838,0.1279
52,0.347748,0.252361,0.380014,0.1279
53,0.346168,0.252571,0.378462,0.1279
54,0.352441,0.24563,0.383847,0.1279
55,0.350584,0.239591,0.381218,0.1279
56,0.343178,0.232701,0.372931,0.1279
57,0.34158,0.223299,0.370131,0.1279
58,0.343221,0.222166,0.371627,0.1279
59,0.342686,0.21315,0.369939,0.1279
60,0.343232,0.209916,0.370071,0.1279
61,0.333578,0.203414,0.359587,0.1279
62,0.336912,0.195553,0.361916,0.1279
63,0.337884,0.194395,0.362739,0.1279
64,0.33701,0.189661,0.36126,0.1279
65,0.329344,0.183915,0.352859,0.1279
66,0.334921,0.183486,0.358382,0.1279
67,0.331922,0.180008,0.354938,0.1279
68,0.326792,0.173146,0.34893,0.1279
69,0.331383,0.169318,0.353032,0.1279
70,0.329163,0.167892,0.350629,0.1279
71,0.324598,0.164314,0.345607,0.1279
72,0.327966,0.16548,0.349124,0.1279
73,0.322843,0.163151,0.343703,0.1279
74,0.320198,0.156847,0.340252,0.1279
75,0.326065,0.153263,0.345661,0.1279
76,0.325198,0.151771,0.344603,0.1279
77,0.322208,0.144428,0.340674,0.1279
78,0.319686,0.151448,0.33905,0.1279
79,0.313878,0.146339,0.332589,0.1279
80,0.318331,0.140983,0.336357,0.1279
81,0.310777,0.139841,0.328657,0.1279
82,0.3127,0.136516,0.330155,0.1279
83,0.312397,0.135627,0.329738,0.1279
