feature,spearman_rho,p_value,n,abs_rho
libra_supported_rescaled_0_100,-0.11283998763664474,0.05664607425058225,286,0.11283998763664474
education_years,0.10496290346568384,0.07635998743898655,286,0.10496290346568384
libra_supported_raw,-0.1043233120755065,0.07817920941855402,286,0.1043233120755065
diastolic_bp,-0.10288046859780527,0.08241215693236417,286,0.10288046859780527
hypertension,-0.10143912113323594,0.08682335007872384,286,0.10143912113323594
weight_kg,-0.1008376204054519,0.08871942150413134,286,0.1008376204054519
modifiable_risk_core_count,-0.10012451267205368,0.09101014985632322,286,0.10012451267205368
years_retired,-0.09678780586321317,0.14877418883706167,224,0.09678780586321317
education_retired,0.09082158392618955,0.12812799302885358,282,0.09082158392618955
vascular_treatment_gap,-0.08831635415161387,0.13624083632373088,286,0.08831635415161387
height_m,-0.08817239106668145,0.13688316400947956,286,0.08817239106668145
vascular_risk_count,-0.08762930931905186,0.13932719486270584,286,0.08762930931905186
pulse,0.08726646243248637,0.14097864431314633,286,0.08726646243248637
metabolic_risk_count,-0.08684614921093892,0.14291030861216725,286,0.08684614921093892
tobacco_burden,0.07982641176156423,0.2660533473348946,196,0.07982641176156423
BMI,-0.06727318917534408,0.2567964375972841,286,0.06727318917534408
ses_score,0.06474885809674906,0.27511774715553367,286,0.06474885809674906
serum_cholesterol,-0.05524765946514184,0.46261594186177823,179,0.05524765946514184
heart_disease,-0.04828101834740448,0.4896664031156286,207,0.04828101834740448
smoking_history,-0.04536854643308479,0.5162599068359254,207,0.04536854643308479
social_structural_engagement,-0.04147536075113651,0.48477648393736156,286,0.04147536075113651
systolic_bp,-0.04074268589835435,0.4925309902112469,286,0.04074268589835435
libra_supported_late_life_raw,-0.03386346253289228,0.568448004812033,286,0.03386346253289228
renal_dysfunction,-0.028554016043183434,0.6829680495356037,207,0.028554016043183434
lifestyle_risk_count,0.026121668053329317,0.6600110466449096,286,0.026121668053329317
social_isolation_score,0.02276225404101382,0.7014910583703965,286,0.02276225404101382
serum_glucose,-0.02231179906279455,0.767523258573039,178,0.02231179906279455
married_homeowner,-0.008679475064220708,0.8838083708105149,286,0.008679475064220708
serum_creatinine,-0.007683237737675502,0.9186963009176118,179,0.007683237737675502
eGFR,-0.0018266301968357765,0.9806392731418423,179,0.0018266301968357765
