feature,mean_delta,std_delta,snr
weight_kg,-3.9345508617983187,21.235956066176296,0.18527778308412599
education_retired,1.5378151260504203,9.546691904464224,0.16108356080604463
BMI,-3.549747856585508,23.056360545552845,0.1539595917325395
libra_supported_late_life_raw,0.2554621848739496,1.7411334798884615,0.1467217692830724
vascular_risk_count,0.17647058823529413,1.4473798919620091,0.12192416731322253
married_homeowner,0.06722689075630252,0.6447081606324925,0.10427491810569685
diastolic_bp,-1.2352941176470589,12.991080251078637,0.09508786749657756
pulse,1.3781512605042017,15.363380884831773,0.08970364470851225
smoking_history,-0.05042016806722689,0.5628370436853902,0.08958217754734023
hypertension,-0.05042016806722689,0.6331027967004159,0.07963978085449198
modifiable_risk_core_count,0.11764705882352941,1.696147243629274,0.06936134772264035
vascular_treatment_gap,-0.04201680672268908,0.7378706359164765,0.05694332396566851
ses_score,0.02946127886209688,0.571613046592587,0.05154059898768299
serum_creatinine,-0.008403361344537815,0.16832333427855733,0.049923923683137215
social_isolation_score,0.04201680672268908,0.9111352046003228,0.0461147878651065
lifestyle_risk_count,-0.026610644257703122,0.7162848938439736,0.03715092199940869
serum_glucose,0.5210084033613446,14.468074816612228,0.03601090054684486
libra_supported_raw,0.080672268907563,2.3571552898906676,0.03422441839929877
education_years,0.12605042016806722,3.8731018595260993,0.032545082651388176
metabolic_risk_count,-0.03361344537815126,1.0918550486278753,0.03078562982293973
social_structural_engagement,-0.007002801120448187,0.25601536009518133,0.027353050576698353
years_retired,0.21008403361344538,8.298905414895104,0.02531466778872622
libra_supported_rescaled_0_100,-0.41647348594610256,21.37236013500753,0.0194865463287997
renal_dysfunction,0.008403361344537815,0.47625638034637735,0.017644616793966103
serum_cholesterol,0.47058823529411764,32.38290438321793,0.014531995947944147
tobacco_burden,0.005564032322935342,0.5263379015164356,0.0105712172661964
eGFR,0.10768481885420861,10.899659055340802,0.009879650207183656
systolic_bp,0.11764705882352941,20.112781366474415,0.0058493679553332945
height_m,6.8907563025251005e-06,0.16003329053746462,4.305826766621206e-05
heart_disease,0.0,0.4674263524428027,0.0
